"M","valence","par","item","study","TSlength","scale","MpD","pop","retro","TSlength_c","MpD_c"
1,1,22,1,1,217,1,6,0,0,116.14371257485,0.185714285714286
1,1,22,2,1,217,1,6,0,0,116.14371257485,0.185714285714286
1,1,22,3,1,217,1,6,0,0,116.14371257485,0.185714285714286
1,1,22,4,1,217,1,6,0,0,116.14371257485,0.185714285714286
1,0,22,5,1,217,1,6,0,0,116.14371257485,0.185714285714286
1,0,22,6,1,217,1,6,0,0,116.14371257485,0.185714285714286
1,0,22,7,1,217,1,6,0,0,116.14371257485,0.185714285714286
1,0,22,8,1,217,1,6,0,0,116.14371257485,0.185714285714286
1,1,23,1,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,23,2,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,23,3,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,23,4,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,23,5,1,184,1,6,0,0,83.1437125748503,0.185714285714286
0,0,23,6,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,23,7,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,23,8,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,24,1,1,196,1,6,0,0,95.1437125748503,0.185714285714286
1,1,24,2,1,196,1,6,0,0,95.1437125748503,0.185714285714286
1,1,24,3,1,196,1,6,0,0,95.1437125748503,0.185714285714286
1,1,24,4,1,196,1,6,0,0,95.1437125748503,0.185714285714286
1,0,24,5,1,196,1,6,0,0,95.1437125748503,0.185714285714286
1,0,24,6,1,196,1,6,0,0,95.1437125748503,0.185714285714286
0,0,24,7,1,196,1,6,0,0,95.1437125748503,0.185714285714286
0,0,24,8,1,196,1,6,0,0,95.1437125748503,0.185714285714286
0,1,25,1,1,170,1,6,0,0,69.1437125748503,0.185714285714286
0,1,25,2,1,170,1,6,0,0,69.1437125748503,0.185714285714286
0,1,25,3,1,170,1,6,0,0,69.1437125748503,0.185714285714286
1,1,25,4,1,170,1,6,0,0,69.1437125748503,0.185714285714286
1,0,25,5,1,170,1,6,0,0,69.1437125748503,0.185714285714286
0,0,25,6,1,170,1,6,0,0,69.1437125748503,0.185714285714286
1,0,25,7,1,170,1,6,0,0,69.1437125748503,0.185714285714286
1,0,25,8,1,170,1,6,0,0,69.1437125748503,0.185714285714286
0,1,26,1,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,1,26,2,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,1,26,3,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,1,26,4,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,0,26,5,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,0,26,6,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,0,26,7,1,190,1,6,0,0,89.1437125748503,0.185714285714286
0,0,26,8,1,190,1,6,0,0,89.1437125748503,0.185714285714286
1,1,27,1,1,218,1,6,0,0,117.14371257485,0.185714285714286
1,1,27,2,1,218,1,6,0,0,117.14371257485,0.185714285714286
1,1,27,3,1,218,1,6,0,0,117.14371257485,0.185714285714286
1,1,27,4,1,218,1,6,0,0,117.14371257485,0.185714285714286
1,0,27,5,1,218,1,6,0,0,117.14371257485,0.185714285714286
1,0,27,6,1,218,1,6,0,0,117.14371257485,0.185714285714286
1,0,27,7,1,218,1,6,0,0,117.14371257485,0.185714285714286
1,0,27,8,1,218,1,6,0,0,117.14371257485,0.185714285714286
1,1,28,1,1,196,1,6,0,0,95.1437125748503,0.185714285714286
0,1,28,2,1,196,1,6,0,0,95.1437125748503,0.185714285714286
1,1,28,3,1,196,1,6,0,0,95.1437125748503,0.185714285714286
0,1,28,4,1,196,1,6,0,0,95.1437125748503,0.185714285714286
0,0,28,5,1,196,1,6,0,0,95.1437125748503,0.185714285714286
